measurement,k,seed,status,leaky,mean_xy_error,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
spatial,4,,ok,True,3.6168,2.7052,7.5388,0.9972,1.0,1.0,4,2.7052
morphology_image,1,,ok,False,35.1115,11.3179,99.1457,0.9749,4.1837,1.8122,4,2.7052
morphology_image_all,1,,ok,False,35.1115,11.3179,99.1457,0.9749,4.1837,1.8122,4,2.7052
morphology_image_summary,1,,ok,False,38.7862,12.2408,122.3082,0.9916,4.5249,1.96,4,2.7052
morphology_image_histogram,1,,ok,False,41.645,12.8147,131.165,0.9581,4.737,2.0519,4,2.7052
morphology_image_texture,1,,ok,False,42.864,13.4656,116.847,0.9749,4.9776,2.1561,4,2.7052
learned_mix,0,,ok,False,36.4448,18.4312,102.1735,1.0,6.8132,,4,2.7052
expression,4,,ok,False,71.4,58.4361,128.8572,1.0,21.6013,21.6013,4,2.7052
morphology,24,,ok,False,82.3765,72.0639,142.2034,1.0,26.6389,11.353,4,2.7052
random_neighbors,32,16.0,ok,False,83.6147,74.5881,138.2756,1.0,27.572,9.8642,4,2.7052
random_permutation,0,11.0,ok,False,106.164,87.0564,205.665,1.0,32.181,,4,2.7052
