measurement,datasets,leaky,wins,rank_mean,mean_xy_error_median,median_xy_error_median,p90_xy_error_median,coverage_mean
spagcn_adjacency,7,True,7,1.0,2.997323989868164,2.2175509929656982,5.802292823791504,0.9995049031425268
spatial,7,True,0,2.0,3.328127384185791,2.522042751312256,7.53884220123291,0.9992908701793988
morphology_image,7,False,0,4.428571428571429,180.88894653320312,43.35780334472656,410.59521484375,0.9829463853866376
morphology_image_all,7,False,0,4.428571428571429,180.88894653320312,43.35780334472656,410.59521484375,0.9829463853866376
learned_mix,7,False,0,4.714285714285714,175.73802185058594,25.28570556640625,474.76470947265625,1.0
morphology_image_histogram,7,False,0,6.857142857142857,182.57774353027344,49.273475646972656,469.6315612792969,0.9826355076605039
morphology_image_texture,7,False,0,7.285714285714286,190.5236358642578,64.95126342773438,405.8023681640625,0.9822236373794723
morphology_image_summary,7,False,0,7.428571428571429,222.6613006591797,81.91289520263672,396.005126953125,0.9861725993101719
spagcn_xy_embedding,7,True,0,7.857142857142857,157.28448486328125,51.26982116699219,492.5,0.9936865190650003
luna_expression_self,3,True,0,9.666666666666666,96.49725341796876,75.45799255371094,120.47113037109376,1.0
expression,7,False,0,10.0,218.2722320556641,119.1271743774414,512.0614013671875,0.9985619241160679
spagcn_histology_embedding,3,True,0,10.666666666666666,317.09765625,296.0086669921875,513.9860229492188,0.9977406120543888
spagcn_xy_probabilities,7,True,0,11.571428571428571,240.88417053222656,227.3868560791016,533.70068359375,0.9898973029334119
morphology,7,False,0,13.142857142857142,293.4770202636719,296.1448059082031,495.5391540527344,0.9887174189076554
random_neighbors,7,False,0,13.428571428571429,294.4414978027344,290.614501953125,413.8797302246094,1.0
spagcn_histology_probabilities,3,True,0,13.666666666666666,340.76177978515625,330.0054931640625,536.5057373046875,0.9973010913497836
random_permutation,7,False,0,14.714285714285714,337.96044921875,423.5702209472656,631.0726318359375,1.0
